぀ : 0              , ぁ : 6754           , あ : 131288         , ぃ : 23996          , 
貨 : 555            , 拍 : 126            , 災 : 262            , 超 : 687            , 挑 : 190            , 
消 : 1102           , 防 : 972            , 隊 : 837            , 傑 : 46             , 窓 : 270            , 
席 : 481            , 愛 : 1303           , 属 : 1308           , 拓 : 81             , 也 : 102            , 
雅 : 57             , 返 : 785            , 菱 : 31             , 宣 : 401            , 妖 : 51             , 
怪 : 281            , 産 : 2869           , 漱 : 37             , 坊 : 112            , 媛 : 28             , 
泉 : 301            , 婦 : 241            , 昔 : 241            , 端 : 633            , 必 : 3433           , 
臭 : 89             , 為 : 568            , 排 : 329            , 孫 : 188            , 唱 : 364            , 
想 : 1174           , 練 : 871            , 習 : 1326           , 糖 : 523            , 錠 : 64             , 
剤 : 340            , 衣 : 352            , 錆 : 15             , 刀 : 170            , 欧 : 376            , 
幽 : 61             , 霊 : 183            , 亀 : 121            , 働 : 1061           , 悲 : 292            , 
惨 : 31             , 姿 : 404            , 喜 : 257            , 哀 : 36             , 序 : 143            , 
彫 : 266            , 刻 : 526            , 幅 : 485            , 腹 : 325            , 押 : 427            , 
筒 : 134            , 息 : 1107           , 吹 : 247            , 込 : 1510           , 遊 : 681            , 
訓 : 512            , 毛 : 585            , 就 : 540            , 輝 : 223            , 花 : 1171           , 
処 : 874            , 装 : 1055           , 憶 : 245            , 頻 : 195            , 繁 : 299            , 
蓄 : 212            , 移 : 1573           , 則 : 775            , 旧 : 382            , 十 : 1280           , 
戒 : 69             , 授 : 523            , 並 : 580            , 守 : 777            , 炉 : 74             , 
鍋 : 234            , 距 : 517            , 離 : 1439           , 鉤 : 18             , 銀 : 1180           , 
興 : 705            , 亡 : 756            , 提 : 2216           , 低 : 1371           , 獲 : 1088           , 
得 : 3385           , 駿 : 30             , 尋 : 103            , 隠 : 388            , 株 : 658            , 
資 : 2031           , 曽 : 39             , 洪 : 41             , 堤 : 40             , 注 : 967            , 
誉 : 196            , 福 : 593            , 謙 : 57             , 咲 : 135            , 頃 : 701            , 
雨 : 690            , 梅 : 132            , 酒 : 512            , 卿 : 134            , 橋 : 447            , 
稲 : 108            , 荒 : 136            , 狩 : 185            , 錐 : 34             , 唄 : 35             , 
噌 : 79             , 萬 : 8              , 若 : 514            , 伎 : 152            , 獅 : 48             , 
滅 : 484            , 引 : 2317           , 印 : 473            , 善 : 449            , 玉 : 459            , 
匁 : 3              , 銭 : 126            , 肩 : 141            , 鎖 : 214            , 支 : 1833           , 
玩 : 52             , 区 : 1546           , 程 : 715            , 波 : 675            , 振 : 402            , 
倍 : 287            , 歴 : 1621           , 裁 : 640            , 幡 : 35             , 陰 : 161            , 
岸 : 705            , 桂 : 50             , 浜 : 244            , 寄 : 503            , 耳 : 283            , 
再 : 1372           , 着 : 1644           , 韓 : 319            , 万 : 2085           , 購 : 617            , 
暖 : 372            , 盛 : 354            , 摂 : 250            , 忙 : 90             , 鼓 : 87             , 
例 : 1939           , 未 : 575            , 負 : 735            , 担 : 585            , 要 : 6854           , 
転 : 1815           , 覆 : 236            , 追 : 999            , 呂 : 234            , 弦 : 844            , 
整 : 628            , 胴 : 86             , 柱 : 152            , 踊 : 250            , 鷺 : 12             , 
娘 : 330            , 寿 : 305            , 司 : 663            , 姜 : 13             , 醤 : 68             , 
油 : 542            , 供 : 2723           , 恥 : 85             , 殺 : 1389           , 敗 : 799            , 
